Id,plot_Id,crop_Id,D05_times,D_curr_crop,D_repeat_times_count
290,1,1,1,maize,1
290,1,2,1,sorghum,1
290,1,3,1,tomatoes,1
290,1,4,1,sesame,1
291,1,1,1,vegetable,1
291,2,1,1,rice,1
292,1,1,1,maize,1
292,2,1,1,rice,1
293,1,1,1,maize,1
293,2,1,1,rice,1
294,1,1,1,rice,1
294,2,1,1,sorghum,1
294,3,1,1,maize,1
295,1,1,1,maize,1
295,2,1,1,rice,1
295,3,1,1,onion,1
296,1,1,1,maize,1
296,1,2,1,sorghum,1
296,2,1,1,rice,1
297,1,1,1,maize,1
297,2,1,1,sorghum,1
298,1,1,1,rice,1
298,2,1,1,maize,1
299,1,1,1,maize,1
299,2,1,1,rice,1
300,1,1,1,maize,1
300,1,2,1,rice,1
301,1,1,1,maize,1
301,1,2,1,sweetpotato,1
302,1,1,1,rice,1
302,2,1,1,maize,1
302,3,1,1,sesame,1
303,1,1,1,rice,1
303,2,1,1,maize,1
304,1,1,1,rice,1
304,2,1,1,tomatoes,1
304,3,1,1,vegetable,1
304,4,1,1,maize,1
305,1,1,1,maize,1
305,2,1,1,rice,1
306,1,1,1,rice,1
306,2,1,1,maize,1
307,1,1,1,maize,1
307,2,1,1,maize,1
307,3,1,1,rice,1
307,4,1,1,rice,1
308,1,1,1,rice,1
308,2,1,1,maize,1
309,1,1,1,maize,1
309,2,1,1,rice,1
310,1,1,1,rice,1
310,2,1,1,maize,1
310,3,1,1,maize,1
311,1,1,1,maize,1
311,2,1,1,rice,1
312,1,1,1,maize,1
312,2,1,1,rice,1
313,1,1,1,maize,1
313,2,1,1,rice,1
313,3,1,1,sorghum,1
314,1,1,1,maize,1
314,2,1,1,rice,1
315,1,1,1,maize,1
315,2,1,1,rice,1
315,3,1,1,rice,1
316,1,1,1,maize,1
316,2,1,1,rice,1
317,1,1,1,maize,1
317,2,1,1,maize,1
317,3,1,1,rice,1
317,4,1,1,rice,1
318,1,1,1,rice,1
318,2,1,1,maize,1
318,3,1,1,sorghum,1
318,4,1,1,onion,1
318,5,1,1,tomatoes,1
318,5,2,1,vegetable,1
319,1,1,1,rice,1
319,2,1,1,maize,1
320,1,1,1,rice,1
321,1,1,1,maize,1
321,1,2,1,sorghum,1
321,1,3,1,tomatoes,1
322,1,1,1,maize,1
322,2,1,1,rice,1
322,3,1,1,sesame,1
323,1,1,1,sesame,1
323,2,1,1,maize,1
323,3,1,1,cabbage,1
323,4,1,1,green_beans,1
323,5,1,1,maize,1
324,1,1,1,maize,1
324,2,1,1,maize,1
324,3,1,1,cabbage,1
324,4,1,1,baby_corn,1
325,1,1,1,maize,1
325,2,1,1,baby_corn,1
325,3,1,6,piri_piri,6
326,1,1,1,maize,1
326,2,1,1,beans,1
326,3,1,3,piri_piri,3
326,4,1,1,baby_corn,1
326,5,1,1,sweetpotato,1
326,6,1,1,cabbage,1
327,1,1,1,maize,1
327,2,1,1,baby_corn,1
328,1,1,1,maize,1
328,1,2,1,beans,1
328,1,3,1,potatoes,1
328,1,4,1,cabbage,1
329,1,1,1,maize,1
329,2,1,1,maize,1
329,2,2,2,baby_corn,2
330,1,1,1,maize,1
330,2,1,1,bananas,1
330,3,1,1,cabbage,1
330,3,2,3,baby_corn,3
330,3,3,2,piri_piri,2
330,3,4,1,other,1
331,1,1,1,maize,1
331,1,2,1,bananas,1
331,1,3,1,other,1
331,2,1,1,maize,1
331,2,2,1,baby_corn,1
331,2,3,2,green_beans,2
331,3,1,1,maize,1
331,3,2,1,tomatoes,1
332,1,1,1,maize,1
332,1,2,1,sorghum,1
332,1,3,1,sesame,1
332,2,1,1,rice,1
333,1,1,1,maize,1
333,2,1,1,rice,1
333,3,1,1,beans,1
333,3,2,1,onion,1
333,3,3,1,vegetable,1
334,1,1,1,maize,1
334,2,1,1,rice,1
335,1,1,1,maize,1
335,2,1,1,tomatoes,1
335,2,2,1,onion,1
